state_province_name_id,state_province_name,country_iso,country,state_province_id,state_province,state_province_ascii
2,Waqooyi Galbeed Region,SO,Somalia,50360,Gobolka Woqooyi Galbeed,Gobolka Woqooyi Galbeed
3,Woqooyi Galbeed,SO,Somalia,50360,Gobolka Woqooyi Galbeed,Gobolka Woqooyi Galbeed
4,وقويي جالبيد‎,SO,Somalia,50360,Gobolka Woqooyi Galbeed,Gobolka Woqooyi Galbeed
6,Togdheer,SO,Somalia,51230,Gobolka Togdheer,Gobolka Togdheer
7,Togdheer Region,SO,Somalia,51230,Gobolka Togdheer,Gobolka Togdheer
8,تُوجدَير‎,SO,Somalia,51230,Gobolka Togdheer,Gobolka Togdheer
10,Lower Shabeelle,SO,Somalia,51966,Gobolka Shabeellaha Hoose,Gobolka Shabeellaha Hoose
11,Shabeele Hoose Region,SO,Somalia,51966,Gobolka Shabeellaha Hoose,Gobolka Shabeellaha Hoose
12,Shabeellaha Hoose,SO,Somalia,51966,Gobolka Shabeellaha Hoose,Gobolka Shabeellaha Hoose
13,شبيلي السفلى,SO,Somalia,51966,Gobolka Shabeellaha Hoose,Gobolka Shabeellaha Hoose
15,Middle Shabeelle,SO,Somalia,51967,Gobolka Shabeellaha Dhexe,Gobolka Shabeellaha Dhexe
16,Middle Shabele,SO,Somalia,51967,Gobolka Shabeellaha Dhexe,Gobolka Shabeellaha Dhexe
17,Shabeele Dhexe Region,SO,Somalia,51967,Gobolka Shabeellaha Dhexe,Gobolka Shabeellaha Dhexe
18,Shabeellaha Dhexe,SO,Somalia,51967,Gobolka Shabeellaha Dhexe,Gobolka Shabeellaha Dhexe
20,Sanaag,SO,Somalia,52187,Gobolka Sanaag,Gobolka Sanaag
21,Sanaag Region,SO,Somalia,52187,Gobolka Sanaag,Gobolka Sanaag
22,سناج,SO,Somalia,52187,Gobolka Sanaag,Gobolka Sanaag
24,Nugaal,SO,Somalia,53477,Gobolka Nugaal,Gobolka Nugaal
25,Nugaal Region,SO,Somalia,53477,Gobolka Nugaal,Gobolka Nugaal
26,نوغال,SO,Somalia,53477,Gobolka Nugaal,Gobolka Nugaal
28,Mudug,SO,Somalia,53707,Gobolka Mudug,Gobolka Mudug
29,Mudug Region,SO,Somalia,53707,Gobolka Mudug,Gobolka Mudug
30,مدق,SO,Somalia,53707,Gobolka Mudug,Gobolka Mudug
32,Jubbada Hoose,SO,Somalia,56083,Gobolka Jubbada Hoose,Gobolka Jubbada Hoose
33,Jubbada Hoose Region,SO,Somalia,56083,Gobolka Jubbada Hoose,Gobolka Jubbada Hoose
34,Lower Juba,SO,Somalia,56083,Gobolka Jubbada Hoose,Gobolka Jubbada Hoose
35,Lower Jubba,SO,Somalia,56083,Gobolka Jubbada Hoose,Gobolka Jubbada Hoose
37,Jubbada Dhexe,SO,Somalia,56084,Gobolka Jubbada Dhexe,Gobolka Jubbada Dhexe
38,Jubbada Dhexe Region,SO,Somalia,56084,Gobolka Jubbada Dhexe,Gobolka Jubbada Dhexe
39,Middle Juba,SO,Somalia,56084,Gobolka Jubbada Dhexe,Gobolka Jubbada Dhexe
40,Middle Jubba,SO,Somalia,56084,Gobolka Jubbada Dhexe,Gobolka Jubbada Dhexe
41,Commissariat de l’Uebi Scebeli,SO,Somalia,57060,Gobolka Hiiraan,Gobolka Hiiraan
43,Hiiraan,SO,Somalia,57060,Gobolka Hiiraan,Gobolka Hiiraan
44,Hiiran Region,SO,Somalia,57060,Gobolka Hiiraan,Gobolka Hiiraan
45,حيران‎,SO,Somalia,57060,Gobolka Hiiraan,Gobolka Hiiraan
46,Gedo,SO,Somalia,58802,Gobolka Gedo,Gobolka Gedo
47,Gedo Region,SO,Somalia,58802,Gobolka Gedo,Gobolka Gedo
49,جوبا الوسطى‎,SO,Somalia,58802,Gobolka Gedo,Gobolka Gedo
50,Galgadud Region,SO,Somalia,59362,Gobolka Galguduud,Gobolka Galguduud
51,Galguduud,SO,Somalia,59362,Gobolka Galguduud,Gobolka Galguduud
53,جلجدود‎,SO,Somalia,59362,Gobolka Galguduud,Gobolka Galguduud
54,Bay,SO,Somalia,64538,Gobolka Bay,Gobolka Bay
55,Bay Region,SO,Somalia,64538,Gobolka Bay,Gobolka Bay
57,باي,SO,Somalia,64538,Gobolka Bay,Gobolka Bay
58,Bari,SO,Somalia,64661,Gobolka Bari,Gobolka Bari
59,Bari Region,SO,Somalia,64661,Gobolka Bari,Gobolka Bari
61,باري‎,SO,Somalia,64661,Gobolka Bari,Gobolka Bari
62,Banaadir,SO,Somalia,64833,Gobolka Banaadir,Gobolka Banaadir
63,Banadir Region,SO,Somalia,64833,Gobolka Banaadir,Gobolka Banaadir
65,بنادر‎,SO,Somalia,64833,Gobolka Banaadir,Gobolka Banaadir
66,Bakool,SO,Somalia,64982,Gobolka Bakool,Gobolka Bakool
67,Bakool Region,SO,Somalia,64982,Gobolka Bakool,Gobolka Bakool
71,Ta'izz,YE,Yemen,70222,Muḩāfaz̧at Ta‘izz,Muhafazat Ta`izz
72,Ta‘izz,YE,Yemen,70222,Muḩāfaz̧at Ta‘izz,Muhafazat Ta`izz
73,تعز,YE,Yemen,70222,Muḩāfaz̧at Ta‘izz,Muhafazat Ta`izz
74,محافظة تعز,YE,Yemen,70222,Muḩāfaz̧at Ta‘izz,Muhafazat Ta`izz
75,샤브와 주,YE,Yemen,70935,Shabwah,Shabwah
76,Gobernación de Shabwah,YE,Yemen,70935,Shabwah,Shabwah
77,Gouvernement Schabwa,YE,Yemen,70935,Shabwah,Shabwah
78,Governació de Xabwa,YE,Yemen,70935,Shabwah,Shabwah
79,Governatorato di Shabwa,YE,Yemen,70935,Shabwah,Shabwah
80,Guvernoratul Shabwah,YE,Yemen,70935,Shabwah,Shabwah
81,Kegubernuran Shabwah,YE,Yemen,70935,Shabwah,Shabwah
82,Provinco Ŝabua,YE,Yemen,70935,Shabwah,Shabwah
83,Šabva,YE,Yemen,70935,Shabwah,Shabwah
84,Şabva ili,YE,Yemen,70935,Shabwah,Shabwah
85,Sabva kormányzóság,YE,Yemen,70935,Shabwah,Shabwah
86,Šabwa,YE,Yemen,70935,Shabwah,Shabwah
87,Shabwa,YE,Yemen,70935,Shabwah,Shabwah
89,Shabwah Séng,YE,Yemen,70935,Shabwah,Shabwah
90,Szabwa,YE,Yemen,70935,Shabwah,Shabwah
91,Wilaya ya Shabwah,YE,Yemen,70935,Shabwah,Shabwah
92,استان شبوه,YE,Yemen,70935,Shabwah,Shabwah
93,شبوة,YE,Yemen,70935,Shabwah,Shabwah
94,محافظة شبوة,YE,Yemen,70935,Shabwah,Shabwah
95,محافظہ شبوہ,YE,Yemen,70935,Shabwah,Shabwah
96,שבוה,YE,Yemen,70935,Shabwah,Shabwah
97,Шабва,YE,Yemen,70935,Shabwah,Shabwah
98,Шабуа,YE,Yemen,70935,Shabwah,Shabwah
99,შაბვის მუჰაფაზა,YE,Yemen,70935,Shabwah,Shabwah
100,शबवाह प्रान्त,YE,Yemen,70935,Shabwah,Shabwah
101,シャブワ県,YE,Yemen,70935,Shabwah,Shabwah
102,舍卜沃省,YE,Yemen,70935,Shabwah,Shabwah
104,صنعاء,YE,Yemen,71132,Sanaa,Sanaa
105,محافظة صنعاء,YE,Yemen,71132,Sanaa,Sanaa
108,Sa'dah,YE,Yemen,71333,Muḩāfaz̧at Şa‘dah,Muhafazat Sa'dah
69,Muhafazat Ta`izz,YE,Yemen,70222,Muḩāfaz̧at Ta‘izz,Muhafazat Ta`izz
106,Muhafazat Sa'dah,YE,Yemen,71333,Muḩāfaz̧at Şa‘dah,Muhafazat Sa'dah
109,Şa‘dah,YE,Yemen,71333,Muḩāfaz̧at Şa‘dah,Muhafazat Sa'dah
110,صعدة,YE,Yemen,71333,Muḩāfaz̧at Şa‘dah,Muhafazat Sa'dah
111,محافظة صعدة,YE,Yemen,71333,Muḩāfaz̧at Şa‘dah,Muhafazat Sa'dah
114,Raima,YE,Yemen,71532,Muḩāfaz̧at Raymah,Muhafazat Raymah
115,Raymah,YE,Yemen,71532,Muḩāfaz̧at Raymah,Muhafazat Raymah
116,Ma'rib,YE,Yemen,72966,Muḩāfaz̧at Ma’rib,Muhafazat Ma'rib
117,Ma’rib,YE,Yemen,72966,Muḩāfaz̧at Ma’rib,Muhafazat Ma'rib
122,المحويت,YE,Yemen,73200,Al Maḩwīt,Al Mahwit
123,Al Jawf,YE,Yemen,74222,Muḩāfaz̧at al Jawf,Muhafazat al Jawf
126,Hadramaout,YE,Yemen,75411,Muḩāfaz̧at Ḩaḑramawt,Muhafazat Hadramawt
129,حضرموت,YE,Yemen,75411,Muḩāfaz̧at Ḩaḑramawt,Muhafazat Hadramawt
130,محافظة حضرموت,YE,Yemen,75411,Muḩāfaz̧at Ḩaḑramawt,Muhafazat Hadramawt
131,Dhamar,YE,Yemen,76183,Muḩāfaz̧at Dhamār,Muhafazat Dhamar
132,Dhamār,YE,Yemen,76183,Muḩāfaz̧at Dhamār,Muhafazat Dhamar
